Model,R-Squared,RMSE,Time Taken
NuSVR,0.44,3.42,0.05
GradientBoostingRegressor,0.44,3.44,0.44
SVR,0.43,3.45,0.06
AdaBoostRegressor,0.42,3.49,0.18
KNeighborsRegressor,0.41,3.5,0.02
ExtraTreesRegressor,0.41,3.51,0.47
XGBRegressor,0.41,3.52,0.12
Ridge,0.41,3.52,0.01
LinearRegression,0.41,3.52,0.01
TransformedTargetRegressor,0.41,3.52,0.01
PoissonRegressor,0.41,3.52,0.03
RidgeCV,0.41,3.52,0.01
HuberRegressor,0.41,3.52,0.08
BayesianRidge,0.41,3.53,0.01
HistGradientBoostingRegressor,0.4,3.55,1.18
SGDRegressor,0.4,3.55,0.02
ElasticNetCV,0.4,3.56,0.07
RandomForestRegressor,0.4,3.56,1.02
GammaRegressor,0.4,3.56,0.01
TweedieRegressor,0.4,3.56,0.01
GeneralizedLinearRegressor,0.4,3.56,0.01
LassoCV,0.39,3.58,0.09
LassoLarsCV,0.39,3.58,0.03
LassoLarsIC,0.39,3.58,0.01
LGBMRegressor,0.38,3.6,0.14
ElasticNet,0.38,3.62,0.01
OrthogonalMatchingPursuitCV,0.37,3.65,0.02
BaggingRegressor,0.35,3.69,0.11
LarsCV,0.33,3.74,0.03
Lasso,0.33,3.76,0.0
OrthogonalMatchingPursuit,0.32,3.78,0.0
PassiveAggressiveRegressor,0.16,4.21,0.0
LinearSVR,0.1,4.35,0.01
